STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count
TX,Dallas,Cologix DAL3,9.8,99000,6.66,1.6,True,True,True,True,False,False,True,True,2015.0,6
TX,Dallas,Flexential Dallas - Richardson Data Center,11.7,175000,8.19,1.6,True,True,True,True,True,False,True,True,2012.0,6
TX,Dallas,Equinix DA1,8.5,152000,6.12,1.6,True,True,True,True,True,True,True,True,2018.0,6
TX,Dallas,Equinix DA6,44.8,176000,32.26,1.6,True,True,True,True,True,True,True,True,2005.0,6
TX,Dallas,Equinix DA2,36.7,66000,26.42,1.6,True,True,True,True,True,True,True,True,2006.0,6
TX,Dallas,DataBank DFW1 - Downtown Dallas,23.9,246000,16.73,1.6,True,True,True,True,True,False,True,True,2007.0,6
TX,Dallas,DataBank DFW2 - North Dallas,26.4,113000,18.48,1.6,True,True,True,True,True,False,True,True,2014.0,6
TX,Dallas,DataBank DFW4 - Dallas Empire,20.2,110000,14.14,1.6,True,True,True,True,True,False,True,True,2011.0,6
TX,Dallas,DataBank DFW5 - Dallas Infomart,12.6,177000,8.82,1.6,True,True,True,True,True,False,True,True,2020.0,6
TX,Dallas,QTS Fort Worth 1 DC1,16.4,480000,12.46,1.6,True,True,False,True,True,True,True,True,2020.0,6
TX,Dallas,QTS Irving DC1 & DC2,75.6,198000,57.46,1.6,True,True,False,True,True,True,True,True,2015.0,6
TX,Dallas,TierPoint Dallas,6.3,140000,4.35,1.6,True,True,True,True,True,False,True,True,2017.0,6
TX,Dallas,Iron Mountain Data Centers - Dallas,7.8,85000,5.3,1.6,True,True,True,True,False,False,True,True,1999.0,6
TX,Dallas,CyrusOne DFW1 - Carrollton,26.0,96000,19.5,1.6,True,True,False,True,True,True,True,True,2015.0,6
TX,Dallas,CyrusOne DFW2 - Lewisville,38.1,114000,28.58,1.6,True,True,False,True,True,True,True,True,2015.0,6
TX,Dallas,CyrusOne DFW3 - Allen,24.9,339000,18.67,1.6,True,True,False,True,True,True,True,True,2019.0,6
TX,San Antonio,CyrusOne SAT1 - San Antonio,20.0,152000,15.0,1.6,True,True,False,True,True,True,True,True,2022.0,6
TX,San Antonio,CyrusOne SAT2 - San Antonio,47.7,468000,35.78,1.6,True,True,False,True,True,True,True,True,2018.0,6
TX,San Antonio,CyrusOne SAT3 - San Antonio,72.8,287000,54.6,1.6,True,True,False,True,True,True,True,True,2012.0,6
TX,San Antonio,CyrusOne SAT4 - San Antonio,79.8,151000,59.85,1.6,True,True,False,True,True,True,True,True,2020.0,6
TX,San Antonio,Vantage TX11 - San Antonio,31.8,190000,24.8,1.6,True,False,False,True,True,True,True,True,2011.0,6
TX,San Antonio,Vantage TX12 - San Antonio,39.9,285000,31.12,1.6,True,False,False,True,True,True,True,True,2020.0,6
TX,San Antonio,QTS San Antonio 2,48.0,138000,36.48,1.6,True,True,False,True,True,True,True,True,2015.0,6
TX,San Antonio,DataBank SAT1 - San Antonio,19.1,132000,13.37,1.6,True,True,True,True,True,False,True,True,2008.0,6
TX,Austin,Data Foundry - Texas 1,19.5,130000,13.65,1.6,True,True,True,True,False,False,True,True,2000.0,6
TX,Austin,Data Foundry - Texas 2,13.9,26000,9.73,1.6,True,True,True,True,False,False,True,True,2017.0,6
TX,Austin,Element Critical Austin One,15.3,117000,10.71,1.6,True,True,True,True,False,False,True,True,2010.0,6
TX,Austin,CyrusOne AUS2 - Austin,17.8,306000,13.35,1.6,True,True,False,True,True,True,True,True,2019.0,6
TX,Austin,CyrusOne AUS3 - Austin,10.2,455000,7.65,1.6,True,True,False,True,True,True,True,True,2013.0,6
TX,Austin,DataBank AUS1 - Austin,29.2,197000,20.44,1.6,True,True,True,True,True,False,True,True,2016.0,6
TX,Austin,Iron Mountain Data Centers Hutto-1,23.1,177000,15.71,1.6,True,True,True,True,False,False,True,True,2007.0,6
TX,Austin,Iron Mountain Data Centers Hutto-2,21.5,116000,14.62,1.6,True,True,True,True,False,False,True,True,2004.0,6
TX,Austin,Iron Mountain Data Centers Hutto-3,6.4,159000,4.35,1.6,True,True,True,True,False,False,True,True,2015.0,6
TX,Houston,CyrusOne HOU1 - Houston,76.7,559000,57.53,1.6,True,True,False,True,True,True,True,True,2005.0,6
TX,Houston,Flexential Houston,12.8,98000,8.96,1.6,True,True,True,True,True,False,True,True,2003.0,6
TX,Houston,Lumen Houston 1,9.4,71000,6.11,1.6,True,True,True,False,False,False,True,True,2004.0,6
TX,Houston,DataBank HOU1 - Houston,9.5,82000,6.65,1.6,True,True,True,True,True,False,True,True,2018.0,6
TX,Houston,TierPoint Houston,17.2,31000,11.87,1.6,True,True,True,True,True,False,True,True,2015.0,6
TX,Houston,Cologix HOU1,12.6,117000,8.57,1.6,True,True,True,True,False,False,True,True,2018.0,6
TX,Houston,Equinix HU1,39.5,94000,28.44,1.6,True,True,True,True,True,True,True,True,2014.0,6
TX,Houston,Iron Mountain Data Centers Houston,23.8,58000,16.18,1.6,True,True,True,True,False,False,True,True,2014.0,6
GA,Atlanta,QTS Atlanta - Metro,88.5,353000,67.26,1.58,True,True,False,True,True,True,True,True,2009.0,5
GA,Atlanta,Equinix AT1,46.8,314000,33.7,1.58,True,True,True,True,True,True,True,True,2005.0,5
GA,Atlanta,Equinix AT2,37.1,189000,26.71,1.58,True,True,True,True,True,True,True,True,2010.0,5
GA,Atlanta,Equinix AT3,24.7,231000,17.78,1.58,True,True,True,True,True,True,True,True,2002.0,5
GA,Atlanta,DataBank ATL1,9.7,44000,6.79,1.58,True,True,True,True,True,False,True,True,2000.0,5
GA,Atlanta,DataBank ATL2,18.9,80000,13.23,1.58,True,True,True,True,True,False,True,True,2007.0,5
GA,Atlanta,Flexential Atlanta,2.1,133000,1.47,1.58,True,True,True,True,True,False,True,True,2001.0,5
GA,Atlanta,Cologix ATL1,5.0,110000,3.4,1.58,True,True,True,True,False,False,True,True,2011.0,5
GA,Atlanta,Cologix ATL2,2.9,39000,1.97,1.58,True,True,True,True,False,False,True,True,2016.0,5
GA,Atlanta,Iron Mountain ATL1,7.7,52000,5.24,1.58,True,True,True,True,False,False,True,True,2016.0,5
GA,Atlanta,CyrusOne ATL1 - Atlanta,50.3,206000,37.72,1.58,True,True,False,True,True,True,True,True,2020.0,5
GA,Atlanta,TierPoint Atlanta,14.9,44000,10.28,1.58,True,True,True,True,True,False,True,True,2003.0,5
GA,Atlanta,Digital Realty ATL1,81.8,383000,60.53,1.58,True,True,False,True,True,True,True,True,2017.0,5
GA,Atlanta,Digital Realty ATL2,60.3,683000,44.62,1.58,True,True,False,True,True,True,True,True,2007.0,5
GA,Lithia Springs,Switch LAS VEGAS Data Center,2.2,111000,1.54,1.58,True,True,True,True,False,False,True,True,2003.0,5
GA,Lithia Springs,Vantage ATL01,52.3,311000,40.79,1.58,True,False,False,True,True,True,True,True,2017.0,5
GA,Lithia Springs,DataBank ATL3 - Lithia Springs,6.8,70000,4.76,1.58,True,True,True,True,True,False,True,True,2014.0,5
NC,Charlotte,Equinix CH1,16.2,373000,11.66,1.55,True,True,True,True,True,True,True,True,2013.0,4
NC,Charlotte,DataBank CLT1,24.8,218000,17.36,1.55,True,True,True,True,True,False,True,True,2003.0,4
NC,Charlotte,TierPoint Charlotte,2.8,149000,1.93,1.55,True,True,True,True,True,False,True,True,2000.0,4
NC,Charlotte,Flexential Charlotte,19.4,168000,13.58,1.55,True,True,True,True,True,False,True,True,2007.0,4
