STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count,Cluster,PCA1,PCA2
TX,Houston,Lumen Houston 1,9.4,71000,6.11,1.6,1,1,1,0,0,0,1,1,2004.0,6,1,0.3382308071117002,-2.027785288319616
TX,Houston,DataBank HOU1 - Houston,9.5,82000,6.65,1.6,1,1,1,1,1,0,1,1,2018.0,6,1,-1.0229135008565347,-0.6751695988248858
TX,Houston,TierPoint Houston,17.2,31000,11.87,1.6,1,1,1,1,1,0,1,1,2015.0,6,1,-0.9656185669972402,-0.5473876458218546
TX,Houston,Cologix HOU1,12.6,117000,8.57,1.6,1,1,1,1,0,0,1,1,2018.0,6,1,-0.6635354868121847,-1.074076601369368
TX,Houston,Equinix HU1,39.5,94000,28.44,1.6,1,1,1,1,1,1,1,1,2014.0,6,1,-0.71038540400696,1.3228853033178034
TX,Houston,Iron Mountain Data Centers Houston,23.8,58000,16.18,1.6,1,1,1,1,0,0,1,1,2014.0,6,1,-0.568307467598627,-0.8367281867427682
GA,Atlanta,QTS Atlanta - Metro,88.5,353000,67.26,1.58,1,1,0,1,1,1,1,1,2009.0,5,0,0.7774500418720964,4.942207680379595
GA,Atlanta,Equinix AT1,46.8,314000,33.7,1.58,1,1,1,1,1,1,1,1,2005.0,5,0,-0.47417431123315007,2.263984283245735
GA,Atlanta,Equinix AT2,37.1,189000,26.71,1.58,1,1,1,1,1,1,1,1,2010.0,5,0,-0.6702666314710608,1.4936851236822881
GA,Atlanta,Equinix AT3,24.7,231000,17.78,1.58,1,1,1,1,1,1,1,1,2002.0,5,1,-0.8524101747241797,1.0595216744726015
GA,Atlanta,DataBank ATL1,9.7,44000,6.79,1.58,1,1,1,1,1,0,1,1,2000.0,5,1,-1.0983213565766945,-0.9146808514286414
GA,Atlanta,DataBank ATL2,18.9,80000,13.23,1.58,1,1,1,1,1,0,1,1,2007.0,5,1,-0.915511666205179,-0.37589356845530475
GA,Atlanta,Flexential Atlanta,2.1,133000,1.47,1.58,1,1,1,1,1,0,1,1,2001.0,5,1,-1.1397037439532482,-0.934871393070391
GA,Atlanta,Cologix ATL1,5.0,110000,3.4,1.58,1,1,1,1,0,0,1,1,2011.0,5,1,-0.7747062138699724,-1.457040910342587
GA,Atlanta,Cologix ATL2,2.9,39000,1.97,1.58,1,1,1,1,0,0,1,1,2016.0,5,1,-0.8277249191613776,-1.7360734590903943
GA,Atlanta,Iron Mountain ATL1,7.7,52000,5.24,1.58,1,1,1,1,0,0,1,1,2016.0,5,1,-0.7536316553699023,-1.500238097798527
GA,Atlanta,CyrusOne ATL1 - Atlanta,50.3,206000,37.72,1.58,1,1,0,1,1,1,1,1,2020.0,5,0,0.1759652169436442,2.898428644199458
GA,Atlanta,TierPoint Atlanta,14.9,44000,10.28,1.58,1,1,1,1,1,0,1,1,2003.0,5,1,-1.0142514541080812,-0.6858837660148159
GA,Atlanta,Digital Realty ATL1,81.8,383000,60.53,1.58,1,1,0,1,1,1,1,1,2017.0,5,0,0.7220611661154657,4.75820922367559
GA,Atlanta,Digital Realty ATL2,60.3,683000,44.62,1.58,1,1,0,1,1,1,1,1,2007.0,5,0,0.5706082271912312,4.745842025287534
GA,Lithia Springs,Switch LAS VEGAS Data Center,2.2,111000,1.54,1.58,1,1,1,1,0,0,1,1,2003.0,5,1,-0.8481593404797937,-1.6187877080019055
GA,Lithia Springs,Vantage ATL01,52.3,311000,40.79,1.58,1,0,0,1,1,1,1,1,2017.0,5,0,1.6929866905984865,3.3353188180041506
GA,Lithia Springs,DataBank ATL3 - Lithia Springs,6.8,70000,4.76,1.58,1,1,1,1,1,0,1,1,2014.0,5,1,-1.057476716001526,-0.8576370697044091
NC,Charlotte,Equinix CH1,16.2,373000,11.66,1.55,1,1,1,1,1,1,1,1,2013.0,4,1,-0.7799654972785783,1.2180538914519097
NC,Charlotte,DataBank CLT1,24.8,218000,17.36,1.55,1,1,1,1,1,0,1,1,2003.0,4,1,-0.7133994234525687,0.2657438633204594
NC,Charlotte,TierPoint Charlotte,2.8,149000,1.93,1.55,1,1,1,1,1,0,1,1,2000.0,4,1,-1.077028276289525,-0.8778190288919362
NC,Charlotte,Flexential Charlotte,19.4,168000,13.58,1.55,1,1,1,1,1,0,1,1,2007.0,4,1,-0.8029915869215956,-0.08916248498406097
NC,Charlotte,Cologix CLT1,4.2,65000,2.86,1.55,1,1,1,1,0,0,1,1,2007.0,4,1,-0.7864040415709583,-1.6751345128624426
NC,Charlotte,Iron Mountain Charlotte,22.0,183000,14.96,1.55,1,1,1,1,0,0,1,1,2003.0,4,1,-0.4837596584401425,-0.6044978604842407
NC,Charlotte,CyrusOne CLT1,36.5,592000,27.38,1.55,1,1,0,1,1,1,1,1,2013.0,4,0,0.25049585418311426,3.486621474365378
NC,Durham,Flexential Durham,18.7,145000,13.09,1.55,1,1,1,1,1,0,1,1,2009.0,4,1,-0.8188314608446681,-0.1782126693404575
NC,Durham,DataBank RDU1,14.4,240000,10.08,1.55,1,1,1,1,1,0,1,1,2017.0,4,1,-0.7788179328417179,0.002476283518208822
NC,Durham,TierPoint Raleigh-Durham,12.6,83000,8.69,1.55,1,1,1,1,1,0,1,1,2006.0,4,1,-0.9591014913464829,-0.6503085931949414
NC,Raleigh,Lumen Raleigh,3.7,77000,2.41,1.55,1,1,1,0,0,0,1,1,2013.0,4,1,0.38320763127411006,-2.1966138357675575
NC,Raleigh,Cologix RDU1,11.6,21000,7.89,1.55,1,1,1,1,0,0,1,1,2011.0,4,1,-0.69659438480913,-1.4903072075772583
NC,Raleigh,DataBank RDU2,4.5,158000,3.15,1.55,1,1,1,1,1,0,1,1,2016.0,4,1,-0.9745439585151716,-0.6724603840978084
OH,Columbus,Equinix CM1,46.4,235000,33.41,1.57,1,1,1,1,1,1,1,1,2000.0,5,0,-0.536622487706663,1.9528746599666498
OH,Columbus,DataBank CMH1,28.9,47000,20.23,1.57,1,1,1,1,1,0,1,1,2005.0,5,1,-0.7900295137129665,-0.09322858872784716
OH,Columbus,Flexential Columbus,3.2,30000,2.24,1.57,1,1,1,1,1,0,1,1,2007.0,5,1,-1.1472501255115768,-1.188117472261631
OH,Columbus,Cologix CMH1,7.2,113000,4.9,1.57,1,1,1,1,0,0,1,1,2019.0,5,1,-0.6879956625114456,-1.3138827995105447
OH,Columbus,TierPoint Columbus,5.9,97000,4.07,1.57,1,1,1,1,1,0,1,1,2019.0,5,1,-1.0114917812150455,-0.785231050682482
OH,Columbus,Iron Mountain Columbus,4.8,141000,3.26,1.57,1,1,1,1,0,0,1,1,2016.0,5,1,-0.715834549584376,-1.3414196772732516
OH,Columbus,CyrusOne COL1 - Columbus,46.6,566000,34.95,1.57,1,1,0,1,1,1,1,1,2011.0,5,0,0.33947399670607187,3.8254381345504975
OH,Columbus,QTS Columbus,70.3,288000,53.43,1.57,1,1,0,1,1,1,1,1,2011.0,5,0,0.5001021081896071,3.9615872045175915
OH,Cleveland,DataBank CLE1,13.7,177000,9.59,1.57,1,1,1,1,1,0,1,1,2009.0,5,1,-0.8955542250107572,-0.2739577100379743
OH,Cleveland,Flexential Cleveland,10.2,168000,7.14,1.57,1,1,1,1,1,0,1,1,2002.0,5,1,-0.981703864634274,-0.4926373836843811
OH,Cleveland,TierPoint Cleveland,2.1,100000,1.45,1.57,1,1,1,1,1,0,1,1,2018.0,5,1,-1.066167905838527,-0.9369191035931118
